publisher_name,ext_name,link_to_extension,extension_name,display_name,description,last_updated,version,tags,categories,install_count,average_rating,rating_count,repository,icon_url,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
ms-python,python,https://marketplace.visualstudio.com/items?itemName=ms-python.python,python,Python,"Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.",2025-01-23T10:44:45.593Z,2024.23.2025012301,"python, django, unittest, multi-root ready","Programming Languages, Debuggers, Other, Data Science, Machine Learning",152867708.0,4.205638474295191,603.0,https://github.com/Microsoft/vscode-python,https://ms-python.gallerycdn.vsassets.io/extensions/ms-python/python/2024.23.2025012301/1737628879152/Microsoft.VisualStudio.Code.Manifest,106462765,vscode-python,True,https://api.github.com/repos/microsoft/vscode-python/commits,https://api.github.com/repos/microsoft/vscode-python/branches,https://api.github.com/repos/microsoft/vscode-python/releases,1206,TypeScript,main,MIT License,https://aka.ms/pvsc-marketplace,4363,4363,https://api.github.com/repos/microsoft/vscode-python/contributors,164109,2017-10-10T19:37:29Z,2025-01-23T20:30:13Z,2025-01-23T20:30:17Z,353,353,https://api.github.com/repos/microsoft/vscode-python/pulls,https://api.github.com/repos/microsoft/vscode-python/pulls,0,0,0,No data,"Remove env var collection related debris in pythonStartup test  (#24739)

Resolves: https://github.com/microsoft/vscode-python/issues/24738
See explanation there.",43226840c47e5765f1b90ef2619bf516ae33eb68,True,False,False,False,https://api.github.com/repos/microsoft/vscode-python/languages,https://api.github.com/repos/microsoft/vscode-python/labels{/name},
ms-python,vscode-pylance,https://marketplace.visualstudio.com/items?itemName=ms-python.vscode-pylance,vscode-pylance,Pylance,"A performant, feature-rich language server for Python in VS Code",2025-01-23T02:49:17.717Z,2025.1.101,python,Programming Languages,124850286.0,3.066666603088379,240.0,https://github.com/microsoft/pylance-release,https://ms-python.gallerycdn.vsassets.io/extensions/ms-python/vscode-pylance/2025.1.101/1737600213613/Microsoft.VisualStudio.Code.Manifest,265902625,pylance-release,False,https://api.github.com/repos/microsoft/pylance-release/commits,https://api.github.com/repos/microsoft/pylance-release/branches,https://api.github.com/repos/microsoft/pylance-release/releases,764,Python,main,Creative Commons Attribution 4.0 International,,1735,1735,https://api.github.com/repos/microsoft/pylance-release/contributors,14560,2020-05-21T16:50:15Z,2025-01-23T04:37:38Z,2025-01-23T04:36:05Z,391,391,https://api.github.com/repos/microsoft/pylance-release/pulls,https://api.github.com/repos/microsoft/pylance-release/pulls,0,0,0,No data,Update changelog 2025.1.101 (#6881),364f100d281055e9029234508ce704e602206544,True,False,False,False,https://api.github.com/repos/microsoft/pylance-release/languages,https://api.github.com/repos/microsoft/pylance-release/labels{/name},"code-analysis, language-server, language-server-protocol, python"
ms-toolsai,jupyter,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter,jupyter,Jupyter,"Jupyter notebook support, interactive programming and computing that supports Intellisense, debugging and more.",2025-01-23T09:57:28.123Z,2025.1.2025012301,"jupyter, notebook, notebookKernelJupyterNotebook, multi-root ready, python, interactive","Extension Packs, Data Science, Machine Learning, Notebooks, Visualization",87040840.0,2.700000047683716,330.0,https://github.com/Microsoft/vscode-jupyter,https://ms-toolsai.gallerycdn.vsassets.io/extensions/ms-toolsai/jupyter/2025.1.2025012301/1737625744827/Microsoft.VisualStudio.Code.Manifest,294546561,vscode-jupyter,False,https://api.github.com/repos/microsoft/vscode-jupyter/commits,https://api.github.com/repos/microsoft/vscode-jupyter/branches,https://api.github.com/repos/microsoft/vscode-jupyter/releases,299,TypeScript,main,MIT License,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter,1322,1322,https://api.github.com/repos/microsoft/vscode-jupyter/contributors,207222,2020-09-10T23:39:14Z,2025-01-22T20:18:46Z,2025-01-22T20:18:50Z,208,208,https://api.github.com/repos/microsoft/vscode-jupyter/pulls,https://api.github.com/repos/microsoft/vscode-jupyter/pulls,0,0,0,No data,Add home path to debug logs (#16400),06c8ae1a5b9620043c59c08e0c2debb33847e5e6,True,False,False,False,https://api.github.com/repos/microsoft/vscode-jupyter/languages,https://api.github.com/repos/microsoft/vscode-jupyter/labels{/name},"datascience, jupyter, machine-learning, vscode, vscode-extension"
ms-vscode,cpptools,https://marketplace.visualstudio.com/items?itemName=ms-vscode.cpptools,cpptools,C/C++,"C/C++ IntelliSense, debugging, and code browsing.",2025-01-22T02:45:19.547Z,1.23.4,"C, C++, IntelliSense, Microsoft, multi-root ready","Programming Languages, Debuggers, Formatters, Linters, Snippets",77337951.0,3.46875,576.0,https://github.com/Microsoft/vscode-cpptools.git,https://ms-vscode.gallerycdn.vsassets.io/extensions/ms-vscode/cpptools/1.23.4/1737513432403/Microsoft.VisualStudio.Code.Manifest,54800346,vscode-cpptools,False,https://api.github.com/repos/microsoft/vscode-cpptools/commits,https://api.github.com/repos/microsoft/vscode-cpptools/branches,https://api.github.com/repos/microsoft/vscode-cpptools/releases,1573,TypeScript,main,Other,,5600,5600,https://api.github.com/repos/microsoft/vscode-cpptools/contributors,57621,2016-03-26T21:26:30Z,2025-01-23T07:14:16Z,2025-01-22T09:25:54Z,1386,1386,https://api.github.com/repos/microsoft/vscode-cpptools/pulls,https://api.github.com/repos/microsoft/vscode-cpptools/pulls,0,0,0,No data,"Bump undici from 5.28.4 to 5.28.5 in /.github/actions (#13180)

Bumps [undici](https://github.com/nodejs/undici) from 5.28.4 to 5.28.5.
- [Release notes](https://github.com/nodejs/undici/releases)
- [Commits](https://github.com/nodejs/undici/compare/v5.28.4...v5.28.5)

---
updated-dependencies:
- dependency-name: undici
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",cdf1e6b4f23445fa01a513591f5f8d6f8ddf2b4a,True,False,False,False,https://api.github.com/repos/microsoft/vscode-cpptools/languages,https://api.github.com/repos/microsoft/vscode-cpptools/labels{/name},"microsoft, typescript, vscode-extension"
ms-toolsai,jupyter-keymap,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-keymap,jupyter-keymap,Jupyter Keymap,Jupyter keymaps for notebooks,2023-06-05T17:53:31.993Z,1.1.2,notebook-keymap,Notebooks,68255029.0,4.0,3.0,https://github.com/Microsoft/vscode-jupyter-keymap,https://ms-toolsai.gallerycdn.vsassets.io/extensions/ms-toolsai/jupyter-keymap/1.1.2/1685987377049/Microsoft.VisualStudio.Code.Manifest,397361546,vscode-jupyter-keymap,False,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/commits,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/branches,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/releases,11,,main,MIT License,,25,25,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/contributors,106,2021-08-17T18:54:51Z,2024-10-31T21:19:42Z,2024-11-24T14:25:10Z,12,12,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/pulls,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/pulls,0,0,0,No data,"Merge pull request #40 from microsoft/aamunger/acceptChat

don't run if inline chat should be accepted",e7e35afffaf7e08f2289f2cb2048ddeffa776f3c,True,False,False,False,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/languages,https://api.github.com/repos/microsoft/vscode-jupyter-keymap/labels{/name},
ms-toolsai,jupyter-renderers,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-renderers,jupyter-renderers,Jupyter Notebook Renderers,"Renderers for Jupyter Notebooks (with plotly, vega, gif, png, svg, jpeg and other such outputs)",2025-01-14T17:11:48.57Z,1.0.2025011401,"jupyter, notebook, notebookRenderer, multi-root ready","Other, Data Science, Machine Learning, Notebooks, Visualization",67199016.0,2.7857142857142856,14.0,https://github.com/Microsoft/vscode-notebook-renderers,https://ms-toolsai.gallerycdn.vsassets.io/extensions/ms-toolsai/jupyter-renderers/1.0.2025011401/1736874539545/Microsoft.VisualStudio.Code.Manifest,269428982,vscode-notebook-renderers,False,https://api.github.com/repos/microsoft/vscode-notebook-renderers/commits,https://api.github.com/repos/microsoft/vscode-notebook-renderers/branches,https://api.github.com/repos/microsoft/vscode-notebook-renderers/releases,36,TypeScript,main,MIT License,,120,120,https://api.github.com/repos/microsoft/vscode-notebook-renderers/contributors,2614,2020-06-04T17:58:58Z,2025-01-20T23:26:47Z,2025-01-20T23:26:50Z,3,3,https://api.github.com/repos/microsoft/vscode-notebook-renderers/pulls,https://api.github.com/repos/microsoft/vscode-notebook-renderers/pulls,0,0,0,No data,"Bump nanoid from 3.3.7 to 3.3.8 (#224)

Bumps [nanoid](https://github.com/ai/nanoid) from 3.3.7 to 3.3.8.
- [Release notes](https://github.com/ai/nanoid/releases)
- [Changelog](https://github.com/ai/nanoid/blob/main/CHANGELOG.md)
- [Commits](https://github.com/ai/nanoid/compare/3.3.7...3.3.8)

---
updated-dependencies:
- dependency-name: nanoid
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Don Jayamanne <don.jayamanne@outlook.com>",07528f8277d03710b5029c6f07ec2baa2b2ef01d,False,False,False,False,https://api.github.com/repos/microsoft/vscode-notebook-renderers/languages,https://api.github.com/repos/microsoft/vscode-notebook-renderers/labels{/name},
ms-python,debugpy,https://marketplace.visualstudio.com/items?itemName=ms-python.debugpy,debugpy,Python Debugger,Python Debugger extension using debugpy.,2025-01-20T10:40:50.223Z,2024.15.2025012001,"python, debugger, debugpy",Debuggers,62254092.0,4.545454502105713,11.0,https://github.com/microsoft/vscode-python-debugger.git,https://ms-python.gallerycdn.vsassets.io/extensions/ms-python/debugpy/2024.15.2025012001/1737369164038/Microsoft.VisualStudio.Code.Manifest,615045081,vscode-python-debugger,False,https://api.github.com/repos/microsoft/vscode-python-debugger/commits,https://api.github.com/repos/microsoft/vscode-python-debugger/branches,https://api.github.com/repos/microsoft/vscode-python-debugger/releases,28,TypeScript,main,MIT License,https://marketplace.visualstudio.com/items?itemName=ms-python.debugpy,81,81,https://api.github.com/repos/microsoft/vscode-python-debugger/contributors,1267,2023-03-16T20:54:50Z,2025-01-22T23:06:55Z,2025-01-22T23:06:59Z,57,57,https://api.github.com/repos/microsoft/vscode-python-debugger/pulls,https://api.github.com/repos/microsoft/vscode-python-debugger/pulls,0,113212,0,"Blank Lines: 0, Code Lines: 113212, Comment Lines: 0",disable extra output for no config debug (#565),5c504265a09be90ff1c21719e2bfbf5f21a43082,True,False,False,False,https://api.github.com/repos/microsoft/vscode-python-debugger/languages,https://api.github.com/repos/microsoft/vscode-python-debugger/labels{/name},
ritwickdey,LiveServer,https://marketplace.visualstudio.com/items?itemName=ritwickdey.LiveServer,LiveServer,Live Server,Launch a development local Server with live reload feature for static & dynamic pages,2025-01-10T21:04:34.71Z,5.7.9,"html preview, live preview, live reload, svg preview, open in browser, multi-root ready",Other,58825592.0,0,0,https://github.com/ritwickdey/vscode-live-server.git,https://ritwickdey.gallerycdn.vsassets.io/extensions/ritwickdey/liveserver/5.7.9/1736542717282/Microsoft.VisualStudio.Code.Manifest,95598479,vscode-live-server,False,https://api.github.com/repos/ritwickdey/vscode-live-server/commits,https://api.github.com/repos/ritwickdey/vscode-live-server/branches,https://api.github.com/repos/ritwickdey/vscode-live-server/releases,1339,TypeScript,master,MIT License,https://ritwickdey.github.io/vscode-live-server,5899,5899,https://api.github.com/repos/ritwickdey/vscode-live-server/contributors,5504,2017-06-27T20:35:26Z,2024-08-07T04:55:29Z,2025-01-22T18:44:48Z,2256,2256,https://api.github.com/repos/ritwickdey/vscode-live-server/pulls,https://api.github.com/repos/ritwickdey/vscode-live-server/pulls,0,0,0,No data,updated grammar in appModel.ts (#2568),428e01caf02bfa7ee75741df0f02fc9d2b5b0999,False,False,False,False,https://api.github.com/repos/ritwickdey/vscode-live-server/languages,https://api.github.com/repos/ritwickdey/vscode-live-server/labels{/name},"live-reload, live-server, livereload, typescript, vscode, vscode-extension"
esbenp,prettier-vscode,https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode,prettier-vscode,Prettier - Code formatter,Code formatter using prettier,2024-08-14T15:16:38.6Z,11.0.0,"multi-root ready, prettier, formatter, javascript, handlebars, js, jsx, flow, typescript, ts, json, css, less, scss, styled-components, styled-jsx, markdown, md, commonmark, mdx, php, pug, ruby, swift, html, vue, ember, glimmer, angular, graphql, yaml, yml",Formatters,53276681.0,3.5433404445648193,473.0,https://github.com/prettier/prettier-vscode.git,https://esbenp.gallerycdn.vsassets.io/extensions/esbenp/prettier-vscode/11.0.0/1723648421534/Microsoft.VisualStudio.Code.Manifest,78566876,prettier-vscode,False,https://api.github.com/repos/prettier/prettier-vscode/commits,https://api.github.com/repos/prettier/prettier-vscode/branches,https://api.github.com/repos/prettier/prettier-vscode/releases,460,TypeScript,main,MIT License,https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode,5202,5202,https://api.github.com/repos/prettier/prettier-vscode/contributors,105153,2017-01-10T19:34:28Z,2025-01-23T11:25:49Z,2025-01-21T12:41:01Z,70,70,https://api.github.com/repos/prettier/prettier-vscode/pulls,https://api.github.com/repos/prettier/prettier-vscode/pulls,0,0,0,No data,updated to version 11.0.0,b8d9e42b8900c88e2210bc72615d9f925439b058,True,False,False,False,https://api.github.com/repos/prettier/prettier-vscode/languages,https://api.github.com/repos/prettier/prettier-vscode/labels{/name},"formatter, typescript, visual-studio-code, visual-studio-code-extension"
VisualStudioExptTeam,vscodeintellicode,https://marketplace.visualstudio.com/items?itemName=VisualStudioExptTeam.vscodeintellicode,vscodeintellicode,IntelliCode,AI-assisted development,2024-10-23T23:47:03.84Z,1.3.2,N/A,Other,51128298.0,3.9896907806396484,97.0,https://github.com/MicrosoftDocs/intellicode,https://VisualStudioExptTeam.gallerycdn.vsassets.io/extensions/visualstudioexptteam/vscodeintellicode/1.3.2/1729726946695/Microsoft.VisualStudio.Code.Manifest,141760199,intellicode,False,https://api.github.com/repos/MicrosoftDocs/intellicode/commits,https://api.github.com/repos/MicrosoftDocs/intellicode/branches,https://api.github.com/repos/MicrosoftDocs/intellicode/releases,70,,main,Creative Commons Attribution 4.0 International,https://aka.ms/vsicfaq,763,763,https://api.github.com/repos/MicrosoftDocs/intellicode/contributors,246692,2018-07-20T21:37:42Z,2024-11-13T15:12:21Z,2025-01-20T11:08:23Z,139,139,https://api.github.com/repos/MicrosoftDocs/intellicode/pulls,https://api.github.com/repos/MicrosoftDocs/intellicode/pulls,0,0,0,No data,"Merge pull request #585 from MicrosoftDocs/cleanup-script-ignore-build

Merging pull request #585",666072b2ef99f91aac887def9b21ac8911455585,True,False,False,False,https://api.github.com/repos/MicrosoftDocs/intellicode/languages,https://api.github.com/repos/MicrosoftDocs/intellicode/labels{/name},
